@relation 'emploiFinal3 (1)'

@attribute ville {Casablanca,Rabat,'Meknès ',Salé,'Marrakech ',Benguerir,'Kenitra ',Agadir,'Fès ','Mohammedia ','Skhirat ',' Safi ','Tanger ','Sala al jadida',' Berrechid ','Oujda ','El Jadida ',Laayoune,'Tout le Maroc','AL HOCEIMA ','Bouskoura ','Errachidia ',' Ain Harrouda ',Guerssif}
@attribute entreprise {Leyton,'Sitel Group','Attijariwafa bank','Sofrecom Services Maroc',Omnishore,'Lydec et SUEZ','Deloitte Nearshore','ORH Assessment','Hit Radio',Richbond,Atos,'Webhelp Maroc',OBS,Umanis,Majorel,'Maroc Climate and Security (MCS) - Carrier','ARIA Tech','Université Mohammed VI Polytechnique',Msin,CDG,'ALTEN Maroc',Crouzet,Stellantis,Unifitel,'TNC  The Next Clic ','Label\'Vie - Carrefour Market','Excel Management Conseil','AXA Rabat (Axa Services)','La Brigade de Casa','Intelcia ITS','SQLI Maroc','INTM Mediterranée',Aria,'Manpower Agences',Altados,'Al Hoceinia','Adria Business & Technology','Fondation Marocaine pour la Promotion de l\'enseignement préScolaire',Opus.RH,Cnexia,Coficab,'DXC Technology Maroc','Epil Tech Maroc',Eumatech,Welink,Accytime,'AXA Group Operations Maroc','CGI Technologies et Solutions Maroc','HP SEARCH','Reactive Executive',Imacab,'Perenity Software',S3M,Ecolys,Madaef,'BMCI Groupe BNP Paribas','Oceane Consulting','Atlas Pharm','Eca Assurances','Meski Invest - Riva Industries','Leet initiative',Ventec,Preci,Novec,'Isossell Groupe','Econocom Maroc','Comdata Group','LCI Education','Université Internationale de Rabat',Coface,'HPS Maroc',Neosys,'Atlas On Line',Involys,Comicom,Maymana,'SMBL Food',Eqdom,TeamDEV,'Royale Marocaine d\'Assurance',Finéa,'TP-Link Morocco','APM Terminals','Alter Ipso','GO RH Maroc','La Marocaine vie',Mubawab.ma,'McDonald\'s Maroc','Winpa Phone','Bank Of Africa','Safran Nacelles','Foods and Goods',OCBM,'EnerGetic Link','O&D Services','Disty technologies','Auto Nejma Maroc S.A.','Aptiv Maroc  (ex Delphi)',CRIT,'Groupe ODM','CAC (Centrale Automobile Chérifienne)','Air Arabia','Ratp dev Casablanca','Société des Boissons du Maroc','Société Marocaine des Tabacs','Annour Technologies','AKKA Technologies','Sogea Maroc','ATOZMA Services','Consort Maroc','Groupe Adaming',FGT,'Digital Virgo',OFPPT,'Fonds d\'Equipement Communal (FEC)','Groupe Renault','Safran Engineering Services Maroc','Générale routière','Groupe Assu 2000',Karinvest,Alumetaux,'Rifl Biometrics','Fondation Arrawaj','Société de Développement Local Nouaceur Développement','A.LAZRAK Immobilier','KLK Khayatey Living','Pharma Pilot',Dekra}
@attribute secteur_act {' Aéronautique / Spatial',' Informatique',' Centre d\'appel',' Banque / Finance',' BTP / Génie Civil',' Autres services',' Audiovisuel',' Agence pub / Marketing Direct',' Conseil / Etudes',' Comptabilité / Audit',' Telecom',' Electro-mécanique / Mécanique',' Autres Industries',' Automobile / Motos / Cycles',' Offshoring / Nearshoring',' Distribution',' Assurance / Courtage',' Internet / Multimédia',' Recrutement / Intérim',' Cosmétique / Parfumerie / Luxe',' Energie',' Agriculture / Environnement',' Agroalimentaire',' Immobilier / Promoteur / Agence',' Enseignement / Formation',' Transport / Messagerie / Logistique',' Pharmacie / Santé',' Juridique / Cabinet d’avocats',' Métallurgie / Sidérurgie'}
@attribute fonction {' Méthodes / Process / Industrialisation',' Gestion projet / Etudes / R&D',' Administration des ventes / SAV',' Banque',' Call Centers',' Informatique / Electronique',' Communication / Publicité / RP',' Télécoms / Réseaux',' Informatique / Electronique / Multimédia / Internet',' RH / Personnel / Formation',' Avocat / Juriste / Fiscaliste',' Gestion / Comptabilité / Finance',' Logistique / Transport',' Audit / Conseil',' Commercial / Vente / Export',' Achats / Supply Chain',' Marketing',' Assurance',' Immobilier / Promotion',' Journalisme / Traduction',' Distribution',' Production / Qualité / Sécurité / Maintenance',' Assistanat de Direction / Services Généraux',' Travaux / Chantiers / BTP',' Agriculture',' Caméraman / Monteur / Preneur de son',' Environnement',' Enseignement',' Santé / Social',' Multimédia / Internet',' Hôtellerie / Restauration',' Médical / Paramédical'}
@attribute experience {' De 1 à 3 ans',' Moins de 1 an',' De 5 à 10 ans',' De 10 à 20 ans',' De 3 à 5 ans',' Débutant'}
@attribute niv_etude {' Bac +4',' Bac +5 et plus',' Bac',' Bac +2',' Bac +3',' Qualification avant Bac',' Autodidacte',' Bac +1'}
@attribute contrat {' CDI',' Stage',' Autre',' CDD',' Freelance'}
@attribute titre {'Ingénieur ','Conseiller Technique ','Conseiller Client',Analyste,Responsable,'Chef de Projet ','Operations Manager ','Ingénieur Java J2EE','Architecte IT','Team Lead ',Auditeur,'Chargé de Communication ',Stagiaire,'Infographiste ','Développeur ','Ingénieur infrastructure',Consultant,'Ingénieur Support Applicatif',Technicien,'Tech Lead','Responsable RH ','Téléconseiller ','Ingénieur Etude et Développement','Administrateur IT','Conseiller Commercial ',Commercial,'Juriste ','Conseiller en Assurance',Comptable,'Ingénieur Testeur','Chargé Administratif',Coordinateur,'Gestionnaire ',Assistant,'Chef de projet IT ',Acheteur,'Expert Technique ','Ingénieur Informatique ',Manager,'Formateur ','Ingénieur DevOps ','Ingénieur Réseau et Sécurité','Concepteur Développeur ','Contrôleur de Gestion','Scrum Master ','Référent technique ','Consultant IT',Journaliste,'Chargé de Développement','Chargé de Sécurité ','Opérateur Agricole ','Responsable régional ','Directeur ','Responsable Commercial','Chargé de Recouvrement','Chargés d\'Etudes','Responsable Marketing ',Cadre,'Responsable IT ','Chargé d\'Affaires ','Responsable Administratif ','Animateur ','Community Manager ','Infirmier ','Chef d\'équipe ','Administrateur des ventes','Contrôleur ','Chargé de Mission ','Chargé d\'Approvisionnement','Chef de Service ','Expert UX/UI ','Responsable maintenance ','Ingénieur Système','Business Process Owner ','Professeur ','Délégué médical','Responsable Achats ','Chargé des Relations Entreprises','Agent de facturation ','Hôtesse d\'Accueil ','Enseignant de sport polyvalent ','Dessinateur industriel ','Chef Atelier'}

@data
Casablanca,Crouzet,' Autres Industries',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Responsable RH '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Expert Technique '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Concepteur Développeur '
Rabat,'INTM Mediterranée',' Banque / Finance',' Assurance',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,'INTM Mediterranée',' Banque / Finance',' Assurance',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Casablanca,'TNC  The Next Clic ',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Tech Lead'
Casablanca,'TNC  The Next Clic ',' Informatique',' Informatique / Electronique / Multimédia / Internet',' Débutant',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Aria,' Comptabilité / Audit',' Gestion / Comptabilité / Finance',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Contrôleur de Gestion'
Casablanca,'TNC  The Next Clic ',' Internet / Multimédia',' Informatique / Electronique',' De 5 à 10 ans',' Bac +4',' CDI','Scrum Master '
' Safi ','Attijariwafa bank',' Banque / Finance',' Banque',' Débutant',' Bac +5 et plus',' CDI','Conseiller Client'
'Tanger ','Manpower Agences',' Autres services',' Commercial / Vente / Export',' De 3 à 5 ans',' Bac +2',' CDI','Gestionnaire '
Rabat,'Manpower Agences',' BTP / Génie Civil',' Immobilier / Promotion',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Ingénieur Testeur'
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Ingénieur Testeur'
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Développeur '
Casablanca,Atos,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,Atos,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,Atos,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Consultant
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,'TNC  The Next Clic ',' Agence pub / Marketing Direct',' Gestion / Comptabilité / Finance',' Débutant',' Bac +3',' Stage',Assistant
Casablanca,Majorel,' Autres Industries',' Télécoms / Réseaux',' De 1 à 3 ans',' Bac +2',' CDI',Analyste
Casablanca,Altados,' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
'Tanger ','Al Hoceinia',' BTP / Génie Civil',' Immobilier / Promotion',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
'Meknès ','Webhelp Maroc',' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac',' CDI','Conseiller Commercial '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Référent technique '
Rabat,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +4',' CDI','Ingénieur DevOps '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +4',' CDI','Concepteur Développeur '
Casablanca,'Label\'Vie - Carrefour Market',' Distribution',' RH / Personnel / Formation',' Débutant',' Bac +5 et plus',' CDI','Chargé Administratif'
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +4',' CDI','Concepteur Développeur '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +4',' CDI','Développeur '
Casablanca,'Adria Business & Technology',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Consultant IT'
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +4',' CDI','Développeur '
Rabat,'Webhelp Maroc',' Informatique',' Télécoms / Réseaux',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Agadir,'Webhelp Maroc',' Centre d\'appel',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +4',' CDI','Responsable RH '
'Tanger ','ORH Assessment',' Assurance / Courtage',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Conseiller Commercial '
Casablanca,'Adria Business & Technology',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,'ORH Assessment',' Assurance / Courtage',' Call Centers',' De 3 à 5 ans',' Bac +3',' CDI',Commercial
Rabat,'Hit Radio',' Audiovisuel',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Responsable
Rabat,'Hit Radio',' Audiovisuel',' Journalisme / Traduction',' De 1 à 3 ans',' Bac +3',' CDD',Journaliste
Rabat,'Hit Radio',' Audiovisuel',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +2',' CDI','Développeur '
Rabat,'Hit Radio',' Audiovisuel',' Journalisme / Traduction',' Débutant',' Bac +3',' Stage',Journaliste
Rabat,'Fondation Marocaine pour la Promotion de l\'enseignement préScolaire',' Recrutement / Intérim',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +3',' CDD','Responsable RH '
Rabat,'Fondation Marocaine pour la Promotion de l\'enseignement préScolaire',' Recrutement / Intérim',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDD','Responsable RH '
Rabat,'ALTEN Maroc',' Informatique',' Télécoms / Réseaux',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Administrateur IT'
'Fès ','ALTEN Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
'Fès ','ALTEN Maroc',' Telecom',' Télécoms / Réseaux',' Débutant',' Bac +4',' Autre','Ingénieur Support Applicatif'
'Fès ','ALTEN Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chargé de Développement'
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Informatique / Electronique',' Débutant',' Bac +5 et plus',' CDI','Chargé de Développement'
Rabat,'ALTEN Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,'ALTEN Maroc',' Automobile / Motos / Cycles',' Méthodes / Process / Industrialisation',' Débutant',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
Casablanca,Opus.RH,' Distribution',' Avocat / Juriste / Fiscaliste',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Juriste '
Casablanca,'Label\'Vie - Carrefour Market',' Distribution',' Distribution',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Manager
'Fès ',Cnexia,' Informatique',' Télécoms / Réseaux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Label\'Vie - Carrefour Market',' Distribution',' Gestion / Comptabilité / Finance',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Contrôleur de Gestion'
Casablanca,'Label\'Vie - Carrefour Market',' Distribution',' Achats / Supply Chain',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Acheteur
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Concepteur Développeur '
'Tanger ',Coficab,' Banque / Finance',' Audit / Conseil',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Auditeur
Rabat,'DXC Technology Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI',Consultant
Casablanca,'Epil Tech Maroc',' Cosmétique / Parfumerie / Luxe',' Call Centers',' Moins de 1 an',' Bac',' CDI','Conseiller Client'
Rabat,'DXC Technology Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +4',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Banque',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Analyste
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Référent technique '
'Fès ',Cnexia,' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDI','Conseiller Client'
'Fès ',Cnexia,' Centre d\'appel',' Call Centers',' Moins de 1 an',' Bac',' CDI','Conseiller Client'
Casablanca,Eumatech,' Banque / Finance',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Administrateur IT'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
Casablanca,Altados,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Tech Lead'
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,Welink,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Consultant IT'
Rabat,Accytime,' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +3',' CDI','Conseiller Client'
Rabat,'AXA Group Operations Maroc',' Informatique',' Production / Qualité / Sécurité / Maintenance',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chargé de Sécurité '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Marketing',' De 3 à 5 ans',' Qualification avant Bac',' CDI',Technicien
Benguerir,'Université Mohammed VI Polytechnique',' Audiovisuel',' Marketing',' De 3 à 5 ans',' Qualification avant Bac',' CDI',Technicien
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Assistanat de Direction / Services Généraux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Assistanat de Direction / Services Généraux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Assistanat de Direction / Services Généraux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Assistanat de Direction / Services Généraux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Méthodes / Process / Industrialisation',' De 3 à 5 ans',' Bac +3',' CDI',Technicien
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Gestion / Comptabilité / Finance',' Moins de 1 an',' Bac +5 et plus',' CDI',Comptable
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Marketing',' De 3 à 5 ans',' Bac +3',' CDI','Infographiste '
Rabat,'CGI Technologies et Solutions Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,'CGI Technologies et Solutions Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
Casablanca,Unifitel,' Centre d\'appel',' Banque',' De 1 à 3 ans',' Bac +2',' CDI','Conseiller Commercial '
Casablanca,Unifitel,' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac +2',' CDI','Conseiller Commercial '
Casablanca,Unifitel,' Offshoring / Nearshoring',' Call Centers',' De 3 à 5 ans',' Bac +2',' CDI',Manager
Casablanca,'HP SEARCH',' Recrutement / Intérim',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +3',' CDI','Responsable RH '
Casablanca,'HP SEARCH',' Recrutement / Intérim',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +3',' CDI','Responsable RH '
Casablanca,'ORH Assessment',' Autres services',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,'Deloitte Nearshore',' Banque / Finance',' Banque',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Consultant
Casablanca,'Reactive Executive',' Automobile / Motos / Cycles',' Audit / Conseil',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Auditeur
Casablanca,Imacab,' Automobile / Motos / Cycles',' Audit / Conseil',' De 1 à 3 ans',' Bac +4',' CDI','Responsable RH '
Casablanca,'Lydec et SUEZ',' Energie',' Gestion / Comptabilité / Finance',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Casablanca,Crouzet,' Aéronautique / Spatial',' Production / Qualité / Sécurité / Maintenance',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Responsable
Casablanca,'Manpower Agences',' Autres Industries',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Responsable RH '
'Fès ','Webhelp Maroc',' Centre d\'appel',' Call Centers',' Débutant',' Bac',' Autre','Conseiller Commercial '
Agadir,'Manpower Agences',' Centre d\'appel',' Call Centers',' De 3 à 5 ans',' Bac +4',' CDI',Manager
Rabat,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
'Sala al jadida','Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Administrateur IT'
Casablanca,Majorel,' Offshoring / Nearshoring',' Gestion / Comptabilité / Finance',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Analyste
Casablanca,'INTM Mediterranée',' Banque / Finance',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,Altados,' Banque / Finance',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Chef de Projet '
Casablanca,Altados,' Banque / Finance',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' Freelance','Ingénieur Testeur'
Casablanca,'CGI Technologies et Solutions Maroc',' Informatique',' Informatique / Electronique',' Moins de 1 an',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,Atos,' Informatique',' Télécoms / Réseaux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Tech Lead'
Casablanca,'ORH Assessment',' BTP / Génie Civil',' Travaux / Chantiers / BTP',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +4',' CDI','Expert Technique '
Rabat,Atos,' Informatique',' Informatique / Electronique',' Moins de 1 an',' Bac +5 et plus',' Stage','Développeur '
Casablanca,'INTM Mediterranée',' Informatique',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,'SQLI Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Java J2EE'
Rabat,'SQLI Maroc',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Architecte IT'
Casablanca,'Perenity Software',' Informatique',' Informatique / Electronique',' Débutant',' Bac +4',' Stage','Ingénieur '
Casablanca,'Adria Business & Technology',' Informatique',' RH / Personnel / Formation',' Débutant',' Bac +5 et plus',' Stage','Responsable RH '
Rabat,Aria,' Centre d\'appel',' Assistanat de Direction / Services Généraux',' De 1 à 3 ans',' Bac +3',' CDI',Assistant
'Fès ','ALTEN Maroc',' Electro-mécanique / Mécanique',' Télécoms / Réseaux',' Débutant',' Bac +2',' Autre',Technicien
Benguerir,'Université Mohammed VI Polytechnique',' Agriculture / Environnement',' Agriculture',' Moins de 1 an',' Qualification avant Bac',' CDI',Technicien
Casablanca,'Intelcia ITS',' Informatique',' Télécoms / Réseaux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Rabat,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Expert Technique '
Rabat,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Rabat,'Intelcia ITS',' Centre d\'appel',' Call Centers',' De 1 à 3 ans',' Bac',' CDI','Téléconseiller '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Caméraman / Monteur / Preneur de son',' De 3 à 5 ans',' Qualification avant Bac',' CDD','Infographiste '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDD','Ingénieur '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Achats / Supply Chain',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Acheteur
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Manager
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Gestion projet / Etudes / R&D',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de Projet '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Agriculture',' Moins de 1 an',' Qualification avant Bac',' CDI','Opérateur Agricole '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Agriculture',' De 1 à 3 ans',' Qualification avant Bac',' CDD','Opérateur Agricole '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Agriculture',' De 3 à 5 ans',' Bac +2',' CDD',Technicien
Benguerir,'Université Mohammed VI Polytechnique',' Agriculture / Environnement',' Agriculture',' De 3 à 5 ans',' Bac +2',' CDI','Opérateur Agricole '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Agriculture',' Moins de 1 an',' Qualification avant Bac',' CDI','Opérateur Agricole '
Benguerir,'Université Mohammed VI Polytechnique',' Agriculture / Environnement',' Agriculture',' De 3 à 5 ans',' Qualification avant Bac',' CDD','Opérateur Agricole '
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Agriculture',' Moins de 1 an',' Qualification avant Bac',' CDI',Technicien
Casablanca,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDD','Ingénieur Réseau et Sécurité'
Casablanca,'Lydec et SUEZ',' Energie',' Environnement',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Référent technique '
